id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout,against,cherechen,corrupted,dmitriyev,kanopatskaja,tihanovkaja,lukashenko
01-010-0011,Brest,city,52.127979,23.652623,1,,315,163,1807,1995,5,81,4,1,15,1,0,,0,1,26,0,2,,0,0,19,0,3,984,0,303,682,158,1995,1597.8,0.8009,69.579,15,11.421,26,19,682,774.8
01-010-0012,Brest,city,52.119652,23.656486,1,,299,177,1504,1737,3,23,0,2,26,1,0,,0,2,21,1,1,,0,1,38,1,4,863,0,286,533,174,1737,1504,0.865861,19.757,26,3.243,21,38,533,863
01-010-0013,Brest,city,52.127487,23.656334,1,,246,155,,,5,,2,1,,0,1,,0,2,,0,1,,0,0,,0,2,,1,234,,152,1372.15,1098.95,0.8009,115.29,35.3461,18.9778,39.3789,28.4666,562.77,298.726
01-010-0014,Brest,city,52.100835,23.670464,1,,361,223,,,9,,5,4,,0,0,,0,2,,0,0,,0,1,,0,3,,0,342,,218,1543.43,1236.13,0.8009,170.811,52.3678,28.117,58.3427,42.1754,822.51,61.8065
01-010-0015,Brest,city,52.086145,23.699866,1,,191,111,911,1012,2,52,0,2,21,1,0,4,0,2,21,0,1,,0,0,9,0,2,393,1,182,410,109,1012,810.511,0.8009,89.1431,27.3299,14.6738,30.4481,22.0106,437.71,189.196
01-010-0016,Brest,city,52.085315,23.698734,1,,196,121,,,6,,0,0,,0,0,,0,4,,2,0,,0,1,,1,0,,0,185,,118,1372.15,1098.95,0.8009,93.539,28.6776,15.3974,31.9495,23.096,444.925,461.37
01-010-0017,Brest,city,52.087186,23.687101,1,,239,152,1190,1442,3,64,2,0,7,0,0,,0,0,6,0,0,,0,1,5,1,2,608,1,233,500,148,1442,1190,0.825243,54.976,7,9.024,6,5,500,608
01-010-0018,Brest,city,52.086809,23.690398,1,,177,114,,,0,,0,0,,0,0,,0,2,,0,0,,0,1,,0,3,,0,171,,114,1372.15,1098.95,0.8009,79.8736,24.488,13.1479,27.2819,19.7219,411.255,523.186
01-010-0019,Brest,city,52.088193,23.68826,1,,117,70,,,2,,1,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,114,,68,1372.15,1098.95,0.8009,51.6686,15.8408,8.50512,17.6481,12.7577,274.17,718.364
01-010-0020,Brest,city,52.090434,23.698276,1,,135,82,624,837,3,46,1,0,7,0,0,9,0,2,16,1,1,,0,0,11,0,0,199,0,129,336,80,837,670.353,0.8009,62.5847,19.1875,10.302,21.3767,15.453,310.245,231.204
01-010-0021,Brest,city,52.090434,23.698276,1,,208,129,1116,1421,7,34,4,0,14,0,0,1,0,0,9,0,2,,0,1,11,1,0,597,0,198,450,124,1421,1138.08,0.8009,97.3098,29.8337,16.0181,33.2375,24.0271,476.19,461.464
01-010-0022,Brest,city,52.093123,23.697054,1,,261,162,1256,1564,2,49,2,1,21,0,0,4,0,1,17,0,0,,0,0,25,0,1,622,0,256,518,160,1564,1252.61,0.8009,113.283,34.7307,18.6474,38.6933,27.971,615.68,403.605
01-010-0023,Brest,city,52.09626,23.694422,1,,215,138,1394,1673,0,79,0,0,16,0,0,,0,1,42,1,2,,0,1,23,0,0,776,0,211,458,137,1673,1339.91,0.8009,93.1783,28.567,15.338,31.8263,23.007,507.455,640.538
01-010-0024,Brest,city,52.095026,23.685259,1,,218,130,,,3,,1,0,,0,0,,0,3,,0,0,,0,2,,0,0,,0,210,,129,1372.15,1098.95,0.8009,99.0886,30.379,16.3109,33.8451,24.4663,505.05,389.815
01-010-0025,Brest,city,52.113027,23.728962,1,,420,241,1898,2217,5,130,1,2,36,0,3,17,1,4,36,2,1,,0,1,24,1,8,548,0,396,1107,236,2217,1898,0.856112,130,36,17,36,24,1107,548
01-010-0026,Brest,city,52.098174,23.694054,1,,200,113,,,2,,1,0,,0,0,,0,1,,0,2,,0,0,,0,0,,0,195,,112,1372.15,1098.95,0.8009,88.1726,27.0323,14.514,30.1166,21.771,468.975,448.373
01-010-0027,Brest,city,52.099513,23.685708,1,,260,168,1360,1407,5,90,2,1,10,1,0,6,0,0,19,0,0,,0,1,9,0,2,761,1,251,465,164,1407,1126.87,0.8009,117.546,36.0379,19.3492,40.1496,29.0238,603.655,281.108
