id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout
01-053-0002,Ivanava,town_below100,52.150409,25.543784,1,,199,104,,,6,,3,2,,1,0,,0,2,,0,1,,0,1,,1,4,,1,183,,98,1207.05,993.762,0.8233
01-053-0003,Ivanava,town_below100,52.146795,25.533076,1,,228,125,,,2,,0,1,,0,1,,0,1,,0,0,,0,1,,1,0,,0,222,,124,1207.05,993.762,0.8233
01-053-0004,Ivanava,town_below100,52.135962,25.538349,1,,184,105,,,2,,1,1,,0,0,,0,1,,1,1,,0,1,,0,1,,0,177,,103,1207.05,993.762,0.8233
01-053-0005,Ivanava,town_below100,52.135945,25.545652,1,,137,71,,,0,,0,0,,0,0,,0,2,,2,1,,0,0,,0,1,,0,133,,69,1207.05,993.762,0.8233
01-053-0006,Ivanava,town_below100,52.144523,25.524389,1,,186,106,,,1,,0,0,,0,0,,0,3,,1,0,,0,0,,0,3,,0,179,,105,1207.05,993.762,0.8233
01-053-0007,Ivanava,town_below100,52.134453,25.541951,1,,1,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,1,1207.05,993.762,0.8233
01-053-0008,Бродница,village,52.127354,25.682232,1,,37,17,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,35,,17,727.322,637.352,0.8763
01-053-0009,Яечковичи,village,52.077755,25.675486,1,,22,8,,,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,20,,8,727.322,637.352,0.8763
01-053-0010,Потаповичи,village,52.058821,25.670509,1,,3,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3,,1,727.322,637.352,0.8763
01-053-0011,Горбаха,village,52.095939,25.367103,1,,6,2,,,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,5,,2,727.322,637.352,0.8763
01-053-0012,Снитово,village,52.129798,25.440693,1,,15,5,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,,5,727.322,637.352,0.8763
01-053-0013,Глинно,village,52.021301,25.421415,1,,10,0,,,1,,0,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,9,,0,727.322,637.352,0.8763
01-053-0014,Вороцевичи,village,52.106085,25.38127,1,,7,2,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,7,,2,727.322,637.352,0.8763
01-053-0015,Лясковичи,village,52.16536,25.549326,1,,84,24,,,1,,0,3,,0,0,,0,0,,0,0,,0,1,,0,0,,0,79,,24,727.322,637.352,0.8763
01-053-0016,Дружиловичи,village,52.23637,25.555839,1,,17,11,,,0,,0,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,16,,10,727.322,637.352,0.8763
01-053-0017,Ляховичи,village,52.18644,25.611292,1,,17,6,,,2,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,,5,727.322,637.352,0.8763
01-053-0018,Молодово,village,52.2742,25.687523,1,,19,10,,,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,1,,0,17,,10,727.322,637.352,0.8763
01-053-0019,Достоево,village,52.236194,25.669117,1,,13,6,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,13,,6,727.322,637.352,0.8763
01-053-0020,Полкотичи,village,52.228339,25.822333,1,,4,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,4,,1,727.322,637.352,0.8763
01-053-0021,Motal,village,52.312707,25.597566,1,,68,26,1099,1155,1,96,0,0,18,0,0,,0,2,20,0,0,,0,0,18,0,0,504,0,65,443,26,1155,1099,0.951515
01-053-0022,Motal,village,52.315971,25.585528,1,,109,53,,,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,2,,0,106,,53,727.322,637.352,0.8763
01-053-0023,Тышковичи,village,52.346889,25.626878,1,,40,22,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,38,,22,727.322,637.352,0.8763
01-053-0024,Мохро,village,51.979766,25.560367,1,,29,13,,,0,,0,0,,0,0,,0,0,,0,0,,0,1,,1,0,,0,28,,12,727.322,637.352,0.8763
01-053-0025,Завышье,village,52.003357,25.689221,1,,25,11,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,25,,11,727.322,637.352,0.8763
01-053-0026,Завышье,village,52.000652,25.683912,1,,15,8,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,,8,727.322,637.352,0.8763
01-053-0027,Власовцы,village,51.97591,25.4636,1,,20,10,,,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,1,,0,18,,10,727.322,637.352,0.8763
01-053-0028,Залядынье,village,51.991862,25.366843,1,,6,2,,,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,5,,2,727.322,637.352,0.8763
01-053-0029,Ополь,village,52.324251,25.421595,1,,27,14,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,27,,14,727.322,637.352,0.8763
01-053-0030,Psyshchevo,village,52.292959,25.466259,1,,10,4,,,0,,0,1,,0,1,,0,0,,0,0,,0,0,,0,0,,0,8,,4,727.322,637.352,0.8763
01-053-0031,Рудск,village,52.07512,25.561148,1,,42,25,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,42,,25,727.322,637.352,0.8763
01-053-0032,Крытышин,village,52.078425,25.486597,1,,26,11,,,2,,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,23,,10,727.322,637.352,0.8763
01-053-0033,Гневчицы,village,52.040599,25.527416,1,,7,1,,,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,6,,1,727.322,637.352,0.8763
01-053-0034,Сухое,village,52.094949,25.598922,1,,11,6,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,11,,6,727.322,637.352,0.8763
01-053-0035,Стрельно,village,52.184878,25.415064,1,,15,5,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,,5,727.322,637.352,0.8763
01-053-0036,Сочивки,village,52.229746,25.443415,1,,9,4,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,9,,4,727.322,637.352,0.8763
01-054-0001,Ivacevichi,town_below100,52.707128,25.344061,1,,270,132,2129,2515,2,381,0,0,57,0,1,,0,0,89,0,2,,0,1,39,0,1,869,0,263,879,132,2515,2129,0.846521
01-054-0002,Ivacevichi,town_below100,52.712922,25.343019,1,,289,162,,,9,,3,2,,1,0,,0,3,,1,1,,0,0,,0,0,,0,274,,157,1207.05,993.762,0.8233
01-054-0003,Ivacevichi,town_below100,52.71416,25.333623,1,,324,189,,,2,,1,0,,0,0,,0,2,,0,0,,0,0,,0,3,,0,317,,188,1207.05,993.762,0.8233
01-054-0004,Ivacevichi,town_below100,52.707739,25.325996,1,,389,187,,,7,,0,1,,1,0,,0,2,,1,0,,0,4,,1,6,,0,369,,184,1207.05,993.762,0.8233
01-054-0005,Ivacevichi,town_below100,52.715093,25.323759,1,,529,301,2838,2989,10,195,2,3,20,2,0,,0,2,54,1,2,,0,0,13,0,1,1500,0,511,1056,296,2989,2460.84,0.8233
01-054-0006,Ivacevichi,town_below100,52.719888,25.346433,1,,276,165,,,1,,0,0,,0,0,,0,1,,1,1,,1,1,,0,2,,1,270,,162,1207.05,993.762,0.8233
01-054-0007,Ivacevichi,town_below100,52.719888,25.350026,1,,2,1,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,1,1207.05,993.762,0.8233
01-054-0008,Kosava,town_below100,52.758888,25.152002,1,,117,55,,,0,,0,0,,0,1,,1,1,,0,1,,0,1,,1,2,,1,111,,52,1207.05,993.762,0.8233
01-054-0009,Ivacevichi,town_below100,52.706315,25.331179,1,,140,77,1488,1600,1,54,0,0,23,0,0,9,0,0,28,0,0,,0,1,18,0,1,877,0,137,479,77,1600,1317.28,0.8233
01-054-0010,Telekhany,village,52.514505,25.846363,1,,105,53,1309,1440,2,53,0,2,22,1,0,21,0,1,23,0,0,,0,0,20,0,3,914,0,97,256,52,1440,1261.87,0.8763
01-054-0011,Вулька Телеханская,village,52.538295,25.87563,1,,11,3,,,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,10,,3,727.322,637.352,0.8763
01-054-0012,Гортоль,village,52.502227,25.909955,1,,22,13,,,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,21,,12,727.322,637.352,0.8763
01-054-0013,Сомино,village,52.535989,25.923933,1,,5,3,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,5,,3,727.322,637.352,0.8763
01-054-0014,Выгонощи,village,52.622091,25.919423,1,,10,5,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,10,,5,727.322,637.352,0.8763
01-054-0015,Бытень,village,52.878106,25.508812,1,,67,31,,,2,,2,1,,1,0,,0,1,,0,0,,0,1,,0,0,,0,62,,28,727.322,637.352,0.8763
01-054-0016,Наливки,village,52.92084,25.549919,1,,3,0,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,727.322,637.352,0.8763
01-054-0017,Волька,village,52.779695,25.620895,1,,18,8,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,18,,8,727.322,637.352,0.8763
01-054-0018,Могилицы,village,52.778704,25.598797,1,,5,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,5,,1,727.322,637.352,0.8763
01-054-0019,Добромысль,village,52.829894,25.707834,1,,15,5,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,14,,5,727.322,637.352,0.8763
01-054-0020,Селец,village,52.839654,25.757205,1,,9,3,,,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,2,,0,6,,3,727.322,637.352,0.8763
01-054-0021,Доманово,village,52.830041,25.483633,1,,67,35,,,1,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,65,,35,727.322,637.352,0.8763
01-054-0022,Volya,village,52.659753,25.327865,1,,42,18,,,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,3,,0,38,,18,727.322,637.352,0.8763
01-054-0023,Ходаки,village,52.584604,25.381925,1,,19,13,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,17,,13,727.322,637.352,0.8763
01-054-0024,Вулька Обровская,village,52.574749,25.486696,1,,35,20,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,34,,20,727.322,637.352,0.8763
01-054-0025,Kvasievičy,village,52.75328,25.076426,1,,33,20,,,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,31,,20,727.322,637.352,0.8763
01-054-0026,Заполье,village,52.703194,25.145668,1,,15,6,492,543,0,22,0,0,13,0,0,,0,0,6,0,0,,0,0,10,0,0,330,0,15,111,6,543,475.831,0.8763
01-054-0027,Любищицы,village,52.752304,25.422385,1,,67,35,,,0,,0,0,,0,1,,1,0,,0,0,,0,0,,0,3,,0,63,,34,727.322,637.352,0.8763
01-054-0028,Miliejki,village,52.785643,25.081151,1,,25,8,,,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,21,,8,727.322,637.352,0.8763
01-054-0029,Hryŭda,village,52.831668,25.214147,1,,2,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,1,727.322,637.352,0.8763
01-054-0030,Busiaž,village,52.817531,25.139353,1,,6,5,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,6,,5,727.322,637.352,0.8763
01-054-0031,Оброво,village,52.510378,25.566847,1,,25,7,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,23,,7,727.322,637.352,0.8763
01-054-0032,Глинная,village,52.478616,25.738907,1,,12,4,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,11,,4,727.322,637.352,0.8763
01-054-0033,Подстаринь,village,52.766299,25.354006,1,,48,24,,,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,45,,24,727.322,637.352,0.8763
01-054-0034,Кушнеры,village,52.754174,25.296469,1,,11,10,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,11,,10,727.322,637.352,0.8763
01-054-0035,Речки,village,52.461011,26.053811,1,,6,2,,,0,,0,0,,0,0,,0,1,,0,1,,0,0,,0,0,,0,4,,2,727.322,637.352,0.8763
01-054-0036,Речковский сельский Совет,village,52.492423,25.994412,1,,4,2,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3,,2,727.322,637.352,0.8763
01-054-0037,Рудня,village,52.463294,26.116505,1,,5,5,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,5,,5,727.322,637.352,0.8763
01-054-0038,Святая Воля,village,52.534241,25.693389,1,,16,6,,,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,15,,6,727.322,637.352,0.8763
01-054-0039,Великая Гать,village,52.54829,25.660619,1,,8,5,,,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,7,,4,727.322,637.352,0.8763
01-054-0040,Стайки,village,52.706233,25.28091,1,,69,43,,,0,,0,1,,1,0,,0,0,,0,1,,0,0,,0,1,,0,66,,42,727.322,637.352,0.8763
01-054-0041,Гощево,village,52.694347,25.227271,1,,26,15,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,26,,15,727.322,637.352,0.8763
01-054-0042,Зелёный Бор,village,52.65382,25.240189,1,,60,31,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,59,,31,727.322,637.352,0.8763
01-054-0043,Яглевичи,village,52.694719,25.378161,1,,103,61,1083,1176,1,37,0,0,9,0,0,3,0,1,12,0,0,,0,0,9,0,0,647,0,101,366,61,1176,1030.53,0.8763
01-054-0044,Бараны,village,52.68319,25.330829,1,,20,12,,,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,19,,11,727.322,637.352,0.8763
01-055-0001,Kamyanyets,town_below100,52.400649,23.824552,1,,116,57,,,1,,1,1,,0,0,,0,0,,0,1,,0,0,,0,2,,0,111,,56,1207.05,993.762,0.8233
01-055-0002,Kamyanyets,town_below100,52.39477,23.823196,1,,173,87,1320,1766,2,57,0,0,35,0,0,,0,0,20,0,2,,0,1,17,0,3,616,0,165,575,87,1766,1320,0.747452
01-055-0003,Kamyanyets,town_below100,52.393061,23.825864,1,,167,86,1474,1699,5,122,0,0,28,0,0,,0,0,19,0,1,,0,1,24,0,2,536,0,158,745,86,1699,1474,0.867569
01-055-0004,Kamyanyets,town_below100,52.394281,23.833697,1,,94,49,874,947,1,128,0,0,27,0,0,,0,0,26,0,0,,0,0,12,0,1,455,0,92,226,49,947,779.665,0.8233
01-055-0005,Kamyanyets,town_below100,52.404005,23.819222,1,,91,54,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,90,,54,1207.05,993.762,0.8233
01-055-0006,Речица,village,52.394511,24.006075,1,,28,9,,,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,1,,0,26,,9,727.322,637.352,0.8763
01-055-0007,Пелище,village,52.320794,23.917689,1,,80,29,,,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,79,,29,727.322,637.352,0.8763
01-055-0008,Видомля,village,52.326915,23.783436,1,,74,36,,,0,,0,0,,0,0,,0,1,,0,1,,0,0,,0,1,,0,71,,36,727.322,637.352,0.8763
01-055-0009,Турна Большая,village,52.273924,23.766126,1,,39,22,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,39,,22,727.322,637.352,0.8763
01-055-0010,Ратайчицы,village,52.344854,23.615999,1,,13,6,610,683,1,36,0,0,4,0,0,,0,0,14,0,0,,0,0,14,0,0,389,0,12,153,6,683,610,0.893119
01-055-0011,Перковичи,village,52.409748,23.625512,1,,26,13,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,25,,13,727.322,637.352,0.8763
01-055-0012,Бучемль 2,village,52.361389,23.66007,1,,15,8,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,15,,8,727.322,637.352,0.8763
01-055-0013,Дмитровичи,village,52.48693,23.779879,1,,19,11,,,0,,0,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,18,,10,727.322,637.352,0.8763
01-055-0014,Ходосы,village,52.470569,23.730121,1,,10,7,,,0,,0,0,,0,0,,0,1,,1,0,,0,0,,0,0,,0,9,,6,727.322,637.352,0.8763
01-055-0015,Каменюки,village,52.556854,23.797944,1,,89,46,,,2,,0,0,,0,1,,1,0,,0,0,,0,0,,0,0,,0,86,,45,727.322,637.352,0.8763
01-055-0016,Новицковичи,village,52.443976,23.847324,1,,14,6,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,14,,6,727.322,637.352,0.8763
01-055-0017,Vowchyn,village,52.283071,23.311497,1,,19,12,368,388,0,32,0,0,15,0,0,,0,0,7,0,0,,0,0,4,0,0,194,0,19,116,12,388,340.004,0.8763
01-055-0018,Новосёлки,village,52.256667,23.227226,1,,18,11,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,17,,11,727.322,637.352,0.8763
01-055-0019,Ставы,village,52.22829,23.347304,1,,10,4,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,10,,4,727.322,637.352,0.8763
01-055-0020,Aharodniki,village,52.345316,23.341393,1,,20,9,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,20,,9,727.322,637.352,0.8763
01-055-0021,Makarava,village,52.364446,23.307922,1,,17,11,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,17,,11,727.322,637.352,0.8763
01-055-0022,Рясна,village,52.393363,23.407338,1,,42,15,,,0,,0,0,,0,0,,0,0,,0,2,,0,0,,0,2,,0,38,,15,727.322,637.352,0.8763
01-055-0023,Оберовщина,village,52.399402,23.378359,1,,59,38,,,0,,0,0,,0,1,,0,0,,0,2,,0,0,,0,0,,0,56,,38,727.322,637.352,0.8763
01-055-0024,Пограничная,village,52.45667,23.36572,1,,14,7,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,14,,7,727.322,637.352,0.8763
01-055-0025,Беловежский,village,52.403759,23.464867,1,,86,43,,,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,84,,43,727.322,637.352,0.8763
01-055-0026,Беловежский,village,52.402841,23.464654,1,,54,29,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,1,53,,28,727.322,637.352,0.8763
01-055-0027,Верховичи,village,52.469395,23.51104,1,,28,12,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,28,,12,727.322,637.352,0.8763
01-055-0028,Кунаховичи,village,52.489206,23.451832,1,,9,2,,,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,3,,0,5,,2,727.322,637.352,0.8763
01-055-0029,Ходосы,village,52.464045,23.730975,1,,11,6,,,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,10,,5,727.322,637.352,0.8763
01-055-0030,Омеленец,village,52.538059,23.548015,1,,10,7,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,10,,7,727.322,637.352,0.8763
01-055-0031,Vysokaye,town_below100,52.366635,23.380003,1,,130,62,,,7,,2,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,121,,60,1207.05,993.762,0.8233
01-055-0032,Vysokaye,town_below100,52.372628,23.366519,1,,139,78,1106,1317,5,101,0,3,29,1,0,,0,0,27,0,2,,0,0,16,0,4,380,0,125,553,77,1317,1106,0.839787
01-055-0033,Vysokaye,town_below100,52.380188,23.36492,1,,101,63,,,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,99,,62,1207.05,993.762,0.8233
01-055-0034,Kamyanyets,town_below100,52.403938,23.828327,1,,1,0,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,1207.05,993.762,0.8233
01-055-0035,Vysokaye,town_below100,52.362742,23.393397,1,,0,0,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1207.05,993.762,0.8233
01-055-0036,Верховичи,village,52.4738,23.510717,1,,10,0,,,1,,0,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,9,,0,727.322,637.352,0.8763
01-056-0001,Kobryn,town_below100,52.192856,24.336894,1,,394,191,,,6,,2,0,,0,0,,0,1,,1,2,,0,1,,1,7,,1,377,,186,1207.05,993.762,0.8233
01-056-0002,Kobryn,town_below100,52.197151,24.345386,1,,262,137,,,4,,0,0,,0,0,,0,2,,0,0,,0,0,,0,4,,0,252,,137,1207.05,993.762,0.8233
01-056-0003,Kobryn,town_below100,52.19502,24.353085,1,,387,194,1876,1906,9,,1,1,2,0,1,,0,2,7,1,1,,0,0,2,0,3,1634,0,370,204,192,1906,1569.21,0.8233
01-056-0004,Kobryn,town_below100,52.19502,24.353085,1,,238,154,,,1,,1,2,,0,0,,0,3,,1,1,,0,1,,1,1,,0,229,,151,1207.05,993.762,0.8233
01-056-0005,Kobryn,town_below100,52.198006,24.346383,1,,293,190,2470,2580,5,91,3,0,34,0,0,21,0,1,46,1,1,,0,2,22,1,3,1351,1,281,905,184,2580,2470,0.957364
01-056-0006,Kobryn,town_below100,52.197151,24.345386,1,,164,95,,,1,,0,0,,0,0,,0,3,,2,1,,0,1,,0,2,,1,156,,92,1207.05,993.762,0.8233
01-056-0007,Kobryn,town_below100,52.198006,24.346383,1,,148,91,1492,1564,2,48,0,0,26,0,0,14,0,1,19,0,0,,0,0,13,0,2,933,0,143,439,91,1564,1287.64,0.8233
01-056-0008,Kobryn,town_below100,52.202521,24.344066,1,,208,108,,,3,,1,0,,0,0,,0,0,,0,1,,0,1,,0,3,,0,200,,107,1207.05,993.762,0.8233
01-056-0009,Kobryn,town_below100,52.203846,24.342269,1,,189,118,,,4,,2,2,,0,0,,0,1,,0,1,,0,1,,1,3,,0,177,,115,1207.05,993.762,0.8233
01-056-0010,Kobryn,town_below100,52.20761,24.326647,1,,127,64,1116,1150,2,5,0,0,3,0,1,,0,1,4,1,0,,0,1,9,0,0,1071,0,122,24,63,1150,946.795,0.8233
01-056-0011,Kobryn,town_below100,52.213813,24.320539,1,,8,4,,,0,,0,0,,0,0,,0,1,,1,0,,0,0,,0,0,,0,7,,3,1207.05,993.762,0.8233
01-056-0012,Kobryn,town_below100,52.21102,24.340293,1,,168,81,,,2,,0,1,,0,0,,0,0,,0,1,,0,0,,0,1,,0,163,,81,1207.05,993.762,0.8233
01-056-0013,Kobryn,town_below100,52.20995,24.352681,1,,201,121,1737,1789,2,31,0,0,15,0,0,,0,1,17,0,1,,0,1,29,0,0,1574,0,196,71,121,1789,1472.88,0.8233
01-056-0014,Kobryn,town_below100,52.209387,24.353597,1,,269,144,,,4,,0,1,,0,0,,0,0,,0,1,,0,1,,0,4,,1,258,,143,1207.05,993.762,0.8233
01-056-0015,Kobryn,town_below100,52.210298,24.355798,1,,219,128,,,3,,0,0,,0,1,,0,1,,0,0,,0,0,,0,0,,0,214,,128,1207.05,993.762,0.8233
01-056-0016,Kobryn,town_below100,52.212632,24.369758,1,,373,207,,,4,,2,1,,0,0,,0,0,,0,0,,0,1,,0,3,,0,364,,205,1207.05,993.762,0.8233
01-056-0017,Kobryn,town_below100,52.219148,24.346383,1,,220,112,2087,2269,3,102,0,0,31,0,1,68,0,4,53,2,0,,0,1,23,0,3,1523,0,208,287,110,2269,1868.07,0.8233
01-056-0018,Kobryn,town_below100,52.219148,24.346383,1,,199,130,,,5,,2,0,,0,1,,1,1,,1,1,,0,0,,0,2,,0,189,,126,1207.05,993.762,0.8233
01-056-0019,Kobryn,town_below100,52.22002,24.361125,1,,337,206,1987,2251,1,133,0,1,49,0,0,,0,3,39,0,0,,0,0,33,0,1,684,0,331,1049,206,2251,1987,0.882719
01-056-0020,Kobryn,town_below100,52.230391,24.378732,1,,246,127,2340,2824,1,43,1,0,50,0,0,8,0,1,52,0,0,,0,0,33,0,2,1500,0,242,654,126,2824,2325,0.8233
01-056-0021,Батчи,village,52.240495,24.227249,1,,49,23,517,693,0,21,0,0,15,0,0,4,0,0,8,0,0,,0,0,7,0,0,240,0,49,222,23,693,607.276,0.8763
01-056-0022,Kobryn,town_below100,52.226618,24.319497,1,,97,44,,,2,,1,0,,0,0,,0,4,,3,0,,0,1,,0,0,,0,90,,40,1207.05,993.762,0.8233
01-056-0023,Буховичи,village,52.279225,24.427447,1,,42,18,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,42,,18,727.322,637.352,0.8763
01-056-0024,Ерёмичи,village,52.291383,24.436808,1,,27,9,422,461,0,37,0,0,6,0,0,,0,0,9,0,0,,0,0,8,0,0,241,0,27,121,9,461,422,0.915401
01-056-0025,Зосимы,village,52.306567,24.44182,1,,19,9,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,19,,9,727.322,637.352,0.8763
01-056-0026,Именин,village,52.262929,24.351486,1,,36,22,,,2,,2,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,34,,20,727.322,637.352,0.8763
01-056-0027,Kobryn,town_below100,52.233166,24.383107,1,,211,106,,,4,,1,2,,1,0,,0,2,,0,0,,0,2,,1,3,,0,198,,103,1207.05,993.762,0.8233
01-056-0028,Городец,village,52.202698,24.662905,1,,51,31,,,2,,1,0,,0,0,,0,1,,0,0,,0,1,,1,0,,0,47,,29,727.322,637.352,0.8763
01-056-0029,Грушево,village,52.240942,24.728104,1,,7,4,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,7,,4,727.322,637.352,0.8763
01-056-0030,Октябрь,village,52.243429,24.603167,1,,19,9,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,19,,9,727.322,637.352,0.8763
01-056-0031,Кустовичи,village,52.290568,24.614018,1,,5,3,,,2,,2,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,2,,1,727.322,637.352,0.8763
01-056-0032,Онисковичи,village,52.126729,24.714414,1,,10,4,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,10,,4,727.322,637.352,0.8763
01-056-0033,Оса,village,51.918054,24.488685,1,,8,4,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,6,,4,727.322,637.352,0.8763
01-056-0034,Kobryn,town_below100,52.220735,24.362467,1,,50,20,,,1,,0,0,,0,0,,0,1,,0,0,,0,0,,0,1,,0,47,,20,1207.05,993.762,0.8233
01-056-0035,Dyvin,village,51.956694,24.57655,1,,23,10,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,22,,10,727.322,637.352,0.8763
01-056-0036,Dyvin,village,51.956144,24.569886,1,,37,18,,,1,,1,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,35,,17,727.322,637.352,0.8763
01-056-0037,Ореховский,village,51.982284,24.669786,1,,22,9,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,20,,9,727.322,637.352,0.8763
