id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout
01-010-0032,Brest,city,52.111655,23.686032,1,,264,150,1870,1885,5,107,2,0,37,0,0,15,0,0,47,0,0,,0,0,33,0,0,920,0,259,711,148,1885,1870,0.992042
01-010-0033,Brest,city,52.108137,23.706019,1,,201,104,,,3,,1,2,,0,0,,0,0,,0,1,,0,0,,0,2,,0,193,,103,1335.18,1055.33,0.7904
01-010-0034,Brest,city,52.113486,23.730759,1,,424,271,2048,2543,7,164,3,2,62,0,0,,0,3,46,1,0,,0,2,18,0,1,535,0,409,1223,267,2543,2048,0.805348
01-010-0035,Brest,city,52.113486,23.730759,1,,455,283,1938,2020,4,115,1,2,38,1,0,16,0,2,26,1,1,,0,3,24,3,4,608,0,439,1111,277,2020,1596.61,0.7904
01-010-0036,Brest,city,52.104818,23.646551,1,,231,135,1608,2065,7,8,1,1,8,0,0,,0,3,13,3,0,,0,1,15,0,1,882,0,218,682,131,2065,1632.18,0.7904
01-010-0037,Brest,city,52.103707,23.644,1,,1,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,1,1335.18,1055.33,0.7904
01-010-0038,Brest,city,52.092476,23.685475,1,,6,3,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,5,,3,1335.18,1055.33,0.7904
01-010-0039,Brest,city,52.106727,23.690595,1,,12,5,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,12,,5,1335.18,1055.33,0.7904
01-010-0040,Brest,city,52.127979,23.652623,1,,210,125,1688,1820,4,48,2,1,28,0,0,,0,0,23,0,1,,0,0,24,0,0,1008,0,204,557,123,1820,1438.53,0.7904
01-010-0041,Brest,city,52.126503,23.698339,1,,547,329,,,7,,2,1,,0,1,,0,7,,4,1,,0,1,,1,4,,1,525,,321,1335.18,1055.33,0.7904
01-010-0042,Brest,city,52.122256,23.771947,1,,335,189,1279,1570,4,9,2,0,6,0,0,,0,0,13,0,1,,0,2,24,1,0,629,0,328,598,186,1570,1240.93,0.7904
01-010-0043,Brest,city,52.119652,23.656486,1,,244,149,,,7,,3,0,,0,0,,0,2,,0,0,,0,1,,0,3,,1,231,,145,1335.18,1055.33,0.7904
01-010-0044,Brest,city,52.090185,23.678378,1,,193,120,1065,1370,4,56,3,2,27,1,0,5,0,0,21,0,0,,0,0,11,0,2,472,0,185,473,116,1370,1065,0.777372
01-011-0001,Brest,city,52.087927,23.715568,1,,378,203,,,7,,1,0,,0,0,,0,2,,1,1,,1,1,,0,9,,0,358,,200,1335.18,1055.33,0.7904
01-011-0002,Brest,city,52.086461,23.703899,1,,255,174,,,7,,1,0,,0,1,,1,2,,2,0,,0,1,,1,6,,1,238,,168,1335.18,1055.33,0.7904
01-011-0003,Brest,city,52.086461,23.703899,1,,309,197,1482,1512,2,101,1,1,21,0,0,14,0,2,22,1,0,,0,1,47,1,5,1150,0,298,127,194,1512,1195.08,0.7904
01-011-0004,Brest,city,52.087335,23.706549,1,,283,162,,,3,,2,5,,2,0,,0,1,,1,0,,0,2,,2,3,,0,269,,155,1335.18,1055.33,0.7904
01-011-0005,Brest,city,52.087335,23.706549,1,,143,78,944,979,2,43,2,0,21,0,0,6,0,0,15,0,0,,0,0,8,0,0,708,0,141,143,76,979,773.802,0.7904
01-011-0006,Brest,city,52.090744,23.704501,1,,300,195,,,1,,0,0,,0,0,,0,3,,0,1,,0,0,,0,0,,0,295,,195,1335.18,1055.33,0.7904
01-011-0007,Brest,city,52.0906405,23.70459261,1,,623,423,2139,2450,11,203,2,3,28,2,2,,0,4,22,0,1,,0,0,19,0,2,841,0,600,1026,419,2450,1936.48,0.7904
01-011-0008,Brest,city,52.092271,23.717868,1,,244,131,1486,1570,4,191,1,1,42,1,2,,0,1,32,0,1,,0,0,16,0,1,1058,0,234,147,129,1570,1240.93,0.7904
01-011-0009,Brest,city,52.092127,23.703315,1,,12,9,,,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,11,,9,1335.18,1055.33,0.7904
01-011-0010,Brest,city,52.09667,23.698087,1,,412,260,1856,2195,9,171,3,1,26,1,2,,1,6,44,4,1,,0,2,19,1,2,1096,0,389,500,250,2195,1734.93,0.7904
01-011-0011,Brest,city,52.099961,23.698384,1,,277,172,,,2,,1,2,,2,0,,0,1,,0,0,,0,0,,0,0,,0,272,,169,1335.18,1055.33,0.7904
01-011-0012,Brest,city,52.099795,23.701546,1,,317,179,,,5,,3,0,,0,0,,0,3,,2,2,,0,2,,2,2,,0,303,,172,1335.18,1055.33,0.7904
01-011-0013,Brest,city,52.105056,23.710583,1,,216,120,,,7,,1,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,208,,119,1335.18,1055.33,0.7904
01-011-0014,Brest,city,52.10036,23.715101,1,,272,155,,,4,,2,1,,1,0,,0,4,,1,0,,0,2,,0,2,,0,259,,151,1335.18,1055.33,0.7904
01-011-0015,Brest,city,52.098158,23.723554,1,,390,215,2044,2543,6,158,4,5,42,1,0,11,0,2,47,0,4,,0,1,27,0,4,646,1,368,1113,209,2543,2044,0.803775
01-011-0016,Brest,city,52.097671,23.729618,1,,341,210,,,2,,0,2,,2,0,,0,0,,0,1,,0,1,,0,0,,0,335,,208,1335.18,1055.33,0.7904
01-011-0017,Brest,city,52.101411,23.726187,1,,166,107,1223,1445,3,191,1,0,12,0,0,,0,0,18,0,1,,0,1,10,1,2,856,0,159,136,105,1445,1142.13,0.7904
01-011-0018,Brest,city,52.101555,23.727696,1,,206,101,,,4,,0,2,,1,0,,0,1,,1,0,,0,1,,1,3,,0,195,,98,1335.18,1055.33,0.7904
01-011-0019,Brest,city,52.10588,23.731127,1,,226,137,,,5,,2,2,,0,0,,0,2,,2,0,,0,0,,0,2,,0,215,,133,1335.18,1055.33,0.7904
01-011-0020,Brest,city,52.104498,23.733095,1,,240,124,1595,1678,3,154,1,1,16,0,0,,0,3,14,1,1,,0,1,17,0,2,1196,0,229,198,122,1678,1326.29,0.7904
01-011-0021,Brest,city,52.106234,23.734289,1,,221,131,,,10,,4,0,,0,0,,0,3,,1,0,,0,0,,0,1,,0,207,,126,1335.18,1055.33,0.7904
01-011-0022,Brest,city,52.105775,23.738413,1,,432,270,2701,2815,8,-48,1,3,43,1,0,,0,1,52,1,0,,0,0,31,0,2,1420,0,418,1203,267,2815,2224.98,0.7904
01-011-0023,Brest,city,52.104547,23.752471,1,,232,135,,,2,,1,0,,0,0,,0,2,,1,0,,0,0,,0,7,,2,221,,131,1335.18,1055.33,0.7904
01-011-0024,Brest,city,52.10957,23.753073,1,,280,159,,,4,,1,1,,1,0,,0,1,,0,0,,0,1,,0,2,,0,271,,157,1335.18,1055.33,0.7904
01-011-0025,Brest,city,52.110117,23.756864,1,,282,150,,,6,,1,2,,1,0,,0,1,,1,2,,0,0,,0,4,,1,267,,146,1335.18,1055.33,0.7904
01-011-0026,Brest,city,52.108713,23.765308,1,,266,157,,,6,,1,2,,1,0,,0,0,,0,0,,0,0,,0,1,,0,257,,155,1335.18,1055.33,0.7904
01-011-0027,Brest,city,52.108713,23.765308,1,,221,134,,,0,,0,0,,0,0,,0,4,,2,0,,0,1,,0,3,,0,213,,132,1335.18,1055.33,0.7904
01-011-0028,Brest,city,52.106284,23.753756,1,,296,179,,,7,,0,0,,0,0,,0,1,,0,0,,0,1,,0,3,,0,284,,179,1335.18,1055.33,0.7904
01-011-0029,Brest,city,52.102655,23.76017,1,,207,109,,,6,,1,0,,0,0,,0,2,,0,0,,0,0,,0,1,,0,198,,108,1335.18,1055.33,0.7904
01-011-0030,Brest,city,52.102655,23.76017,1,,272,172,1880,2126,3,211,1,1,29,0,1,8,0,3,29,2,1,,0,1,22,0,5,1412,0,257,169,169,2126,1680.39,0.7904
01-011-0031,Brest,city,52.101798,23.755534,1,,453,291,,,7,,3,1,,0,0,,0,6,,2,0,,0,1,,1,2,,0,436,,285,1335.18,1055.33,0.7904
01-011-0032,Brest,city,52.106699,23.766485,1,,220,140,1701,1920,3,89,0,0,43,0,0,,0,1,40,0,1,,0,0,12,0,2,935,0,213,582,140,1920,1701,0.885938
01-011-0033,Brest,city,52.106699,23.766485,1,,263,153,,,0,,0,0,,0,0,,0,1,,1,1,,0,0,,0,3,,0,258,,152,1335.18,1055.33,0.7904
01-011-0034,Brest,city,52.094091,23.760439,1,,186,112,,,5,,2,1,,1,0,,0,0,,0,0,,0,0,,0,4,,1,176,,108,1335.18,1055.33,0.7904
01-011-0035,Brest,city,52.095812,23.757942,1,,502,336,2256,2374,5,74,2,5,65,3,0,10,0,4,50,0,1,,0,0,49,0,4,1692,0,483,316,331,2374,1876.41,0.7904
01-011-0036,Brest,city,52.094401,23.761877,1,,297,193,1329,1445,4,58,3,1,24,1,2,5,0,1,20,1,0,,0,2,15,1,0,831,0,287,376,187,1445,1142.13,0.7904
01-011-0037,Brest,city,52.104204,23.765093,1,,203,112,1280,1509,5,137,3,2,24,0,1,,0,2,29,0,2,,0,0,23,0,0,524,0,191,543,109,1509,1280,0.848244
01-011-0038,Brest,city,52.104204,23.765093,1,,193,105,1042,1211,7,88,1,1,18,0,0,8,0,2,21,0,1,,0,0,17,0,2,380,0,180,510,104,1211,1042,0.860446
01-011-0039,Brest,city,52.105172,23.771686,1,,221,122,,,5,,0,3,,0,0,,0,3,,2,1,,0,1,,0,2,,1,206,,119,1335.18,1055.33,0.7904
01-011-0040,Brest,city,52.105172,23.771686,1,,168,107,,,1,,0,0,,0,0,,0,2,,0,1,,0,0,,0,1,,0,163,,107,1335.18,1055.33,0.7904
01-011-0041,Brest,city,52.111312,23.778001,1,,260,163,1487,1500,5,79,1,1,28,1,1,13,0,0,28,0,2,,0,0,17,0,1,793,0,250,529,161,1500,1185.6,0.7904
01-011-0042,Brest,city,52.111312,23.778001,1,,245,140,1731,1780,2,66,0,0,30,0,0,6,0,0,38,0,2,,0,1,20,0,2,959,0,238,612,140,1780,1406.91,0.7904
01-011-0043,Brest,city,52.106788,23.778684,1,,424,256,,,4,,1,1,,0,2,,0,3,,2,1,,0,1,,0,2,,0,410,,253,1335.18,1055.33,0.7904
01-011-0044,Brest,city,52.106788,23.778684,1,,424,265,,,9,,5,0,,0,0,,0,2,,2,0,,0,0,,0,3,,0,410,,258,1335.18,1055.33,0.7904
01-011-0045,Brest,city,52.109393,23.779672,1,,277,155,,,7,,2,0,,0,0,,0,2,,0,0,,0,0,,0,3,,2,265,,151,1335.18,1055.33,0.7904
01-011-0046,Brest,city,52.109393,23.779672,1,,200,119,1662,1811,3,129,0,0,14,0,0,,0,0,24,0,0,,0,0,17,0,3,1247,0,194,231,119,1811,1431.41,0.7904
01-011-0047,Brest,city,52.107833,23.782852,1,,361,221,2145,2145,7,92,4,0,34,0,1,19,0,5,48,2,0,,0,1,33,0,1,1136,1,346,783,214,2145,1695.41,0.7904
01-011-0048,Brest,city,52.100105,23.784281,1,,511,305,1987,2194,8,30,2,0,25,0,2,,1,3,37,1,1,,0,0,25,0,2,1329,1,495,541,300,2194,1734.14,0.7904
01-011-0049,Brest,city,52.100105,23.784281,1,,396,243,1919,1976,5,121,2,0,35,0,2,17,2,2,28,1,0,,0,1,19,0,7,661,1,379,1055,237,1976,1561.83,0.7904
01-011-0050,Brest,city,52.097239,23.785179,1,,18,13,,,0,,0,0,,0,0,,0,1,,1,0,,0,0,,0,0,,0,17,,12,1335.18,1055.33,0.7904
01-011-0051,Brest,city,52.106976,23.821219,1,,364,235,,,3,,2,0,,0,0,,0,2,,1,1,,1,2,,0,2,,1,354,,230,1335.18,1055.33,0.7904
01-011-0052,Brest,city,52.106091,23.81609,1,,13,6,,,1,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,12,,5,1335.18,1055.33,0.7904
01-011-0053,Brest,city,52.106765,23.817707,1,,3,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,3,,1,1335.18,1055.33,0.7904
01-011-0054,Brest,city,52.105726,23.818165,1,,1,0,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,1335.18,1055.33,0.7904
01-011-0055,Brest,city,52.103474,23.810457,1,,5,0,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,4,,0,1335.18,1055.33,0.7904
01-011-0056,Brest,city,52.096144,23.812218,1,,241,144,,,1,,0,0,,0,0,,0,9,,4,1,,0,1,,0,2,,1,227,,139,1335.18,1055.33,0.7904
