id,area,source,tihanovkaja,against,cherechen,corrupted,dmitriyev,kanopatskaja,latitude,longitude
01-011-0026,city,voice,497.395,76.3035,24.0873,12.2862,26.5122,22.3091,52.108713,23.765308
01-011-0027,city,voice,423.588,55.9688,17.6681,9.01193,19.4468,16.3638,52.108713,23.765308
01-011-0028,city,voice,574.411,72.8202,22.9877,11.7253,25.3019,21.2906,52.106284,23.753756
01-011-0029,city,voice,346.572,78.234,24.6968,12.597,27.183,22.8735,52.102655,23.76017
01-011-0030,city,voice,542.321,56.2723,17.7639,9.0608,19.5522,16.4525,52.102655,23.76017
01-011-0031,city,voice,914.565,97.738,30.8537,15.7375,33.9598,28.5759,52.101798,23.755534
01-011-0032,city,official-corrupted-fix,582,76.629,43,12.371,40,12,52.106699,23.766485
01-011-0033,city,voice,487.768,73.8043,23.2984,11.8837,25.6439,21.5784,52.106699,23.766485
01-011-0034,city,voice,346.572,50.0613,15.8032,8.06071,17.3942,14.6366,52.094091,23.760439
01-011-0035,city,voice,1062.18,82.0619,25.9051,13.2134,28.513,23.9927,52.095812,23.757942
01-011-0036,city,official,376,58,24,5,20,15,52.094401,23.761877
01-011-0037,city,official-corrupted-fix,543,117.957,24,19.043,29,23,52.104204,23.765093
01-011-0038,city,official,510,88,18,8,21,17,52.104204,23.765093
01-011-0039,city,voice,381.871,75.6592,23.884,12.1824,26.2884,22.1207,52.105172,23.771686
01-011-0040,city,voice,343.363,32.7941,10.3524,5.2804,11.3946,9.5881,52.105172,23.771686
01-011-0041,city,official,529,79,28,13,28,17,52.111312,23.778001
01-011-0042,city,official,612,66,30,6,38,20,52.111312,23.778001
01-011-0043,city,voice,811.877,110.991,35.0374,17.8714,38.5646,32.4507,52.106788,23.778684
01-011-0044,city,voice,827.922,103.418,32.6466,16.652,35.9332,30.2365,52.106788,23.778684
01-011-0045,city,voice,484.559,92.9269,29.335,14.9628,32.2882,27.1693,52.109393,23.779672
01-011-0046,city,official-corrupted-fix,231,111.069,14,17.931,24,17,52.109393,23.779672
01-011-0047,city,official,783,92,34,19,48,33,52.107833,23.782852
01-011-0048,city,voice,962.7,141.929,44.8037,22.8529,49.3141,41.496,52.100105,23.784281
01-011-0049,city,official,1055,121,35,17,28,19,52.100105,23.784281
01-011-0050,city,voice,38.508,2.95378,0.932442,0.475608,1.02631,0.863604,52.097239,23.785179
