id,zubr_id,observers,accreditation-reject,let-observer-in-violation,no-let-observer-in,observer-pushed-away,force-beforehand-voting,late-report,home-voting-violation,wrong-voters-number,no-medcine-on-poll-station,non-transparent-counting,observer-limitations,other
07-001-0089,243,3,False,False,False,False,False,False,False,False,True,False,False,False
07-001-0090,244,4,False,False,True,False,False,False,False,True,False,True,False,True
07-001-0091,245,3,False,False,False,False,False,False,False,True,False,False,True,True
07-001-0092,246,5,False,False,False,False,False,False,False,True,False,False,False,True
07-001-0093,247,0,False,False,False,False,False,False,False,False,False,False,False,False
07-001-0094,248,4,False,False,True,False,False,False,False,True,False,True,True,False
07-001-0095,249,1,False,False,True,False,False,False,False,True,False,False,False,False
07-001-0096,250,4,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0001,251,6,False,False,True,False,False,False,False,True,False,False,False,True
07-002-0002,252,2,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0003,253,6,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0004,254,2,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0005,255,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0006,256,6,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0007,257,5,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0008,258,1,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0009,259,6,False,False,True,False,False,False,False,True,True,False,False,True
07-002-0010,260,8,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0011,261,8,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0012,262,3,False,False,False,False,False,False,False,True,False,False,False,True
07-002-0013,263,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0014,264,5,False,False,False,False,False,False,False,True,False,False,False,False
07-002-0015,265,1,False,False,False,False,False,False,False,False,False,False,False,True
07-002-0016,266,2,False,False,False,False,False,False,True,False,False,False,False,True
07-002-0017,267,3,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0018,268,5,False,False,True,False,False,False,False,True,False,False,False,True
07-002-0019,269,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0020,270,4,False,False,False,False,False,True,False,False,False,False,False,False
07-002-0021,271,1,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0022,272,5,False,False,False,False,False,True,False,False,False,False,False,False
07-002-0023,273,1,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0024,274,1,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0025,275,7,False,False,True,False,False,False,False,True,True,False,False,False
07-002-0026,276,7,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0027,277,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0028,278,4,True,False,False,False,False,True,False,True,False,False,True,True
07-002-0029,279,4,False,False,True,False,False,False,False,True,True,False,False,True
07-002-0030,280,4,False,False,True,False,False,False,False,False,False,False,False,False
07-002-0031,281,5,False,False,False,False,False,True,False,True,False,True,True,True
07-002-0032,282,5,False,False,False,False,False,True,False,False,False,False,False,True
07-002-0033,283,6,False,True,False,False,False,False,False,False,False,False,False,False
07-002-0034,284,6,False,False,True,False,False,True,True,True,True,True,True,False
07-002-0035,285,9,False,False,False,False,False,False,False,True,False,False,False,False
07-002-0036,286,6,False,False,True,False,False,False,False,True,True,False,False,False
07-002-0037,287,5,False,False,True,True,False,False,False,False,False,False,False,True
07-002-0038,288,8,False,False,True,False,False,True,False,False,False,False,False,False
07-002-0039,289,6,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0040,290,5,False,False,True,False,False,True,False,True,False,False,False,True
07-002-0041,291,8,False,False,True,False,False,True,False,True,False,False,True,False
07-002-0042,292,4,False,True,True,True,False,False,False,True,False,False,True,True
07-002-0043,293,8,False,False,True,False,False,False,False,True,False,True,True,False
07-002-0044,294,9,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0045,295,4,False,False,True,False,False,False,False,True,False,False,True,True
07-002-0046,296,4,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0047,297,8,False,False,False,False,False,False,False,False,False,False,True,False
07-002-0048,298,2,False,False,True,False,False,False,False,False,False,False,False,False
07-002-0049,299,5,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0050,300,5,False,False,False,False,False,False,False,False,False,True,False,False
07-002-0051,301,1,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0052,302,5,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0053,303,6,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0054,304,4,False,False,True,False,False,False,False,True,True,False,True,True
07-002-0055,305,4,False,False,True,False,False,False,False,True,True,False,False,False
07-002-0056,306,3,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0057,307,1,False,False,False,False,False,False,False,True,False,False,False,True
07-002-0058,308,2,False,False,False,False,False,False,False,True,True,False,False,False
07-002-0059,309,3,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0060,310,4,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0061,311,6,False,False,False,False,False,True,False,True,False,True,True,False
07-002-0062,312,4,False,False,True,False,False,True,False,True,True,False,True,False
07-002-0063,313,4,False,False,True,False,False,False,False,True,False,True,False,False
07-002-0064,314,4,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0065,315,9,False,False,True,False,True,True,False,False,False,True,True,True
07-002-0066,316,10,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0067,317,10,False,False,True,False,False,False,False,True,False,False,False,False
07-002-0068,318,5,False,False,False,False,False,False,False,True,False,True,True,False
07-002-0069,319,4,False,False,True,False,True,False,False,True,False,False,True,True
07-002-0070,320,2,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0071,321,8,False,False,True,False,False,False,False,True,False,False,True,True
07-002-0072,322,4,False,False,False,False,False,False,False,False,False,False,False,False
07-002-0073,323,1,False,False,False,False,False,False,False,False,False,False,False,False
